name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,260,116,116,137,21,0
Abington Heights HS,248,211,208,213,2,3
Abington Heights SD,1,0,0,0,0,0
Abington SHS,596,488,481,488,0,7
Academy at Palumbo,188,136,134,139,3,2
Academy at Westinghouse,85,52,51,57,5,1
Academy Park HS,273,0,0,0,0,0
Achievement House CS,106,37,33,44,7,4
Agora Cyber CS,602,273,266,328,55,7
Agora Cyber CS,1,0,0,0,0,0
Albert Gallatin Area SHS,245,96,95,118,22,1
Aliquippa JSHS,57,0,0,0,0,0
Allegheny-Clarion Valley HS,46,26,25,28,2,1
Allegheny-Clarion Valley SD,16,0,0,0,0,0
Allentown City SD,109,36,34,40,4,2
Altoona Area HS,482,271,252,287,16,19
Ambridge Area HS,189,137,118,137,0,19
Ambridge Area SD,1,0,0,0,0,0
Annville Cleona HS,104,64,64,66,2,0
Annville-Cleona SD,1,0,0,0,0,0
Antietam MS/HS,67,45,45,46,1,0
Antietam SD,1,0,0,0,0,0
Apollo-Ridge HS,60,44,44,45,1,0
Apollo-Ridge SD,8,1,1,1,0,0
Armstrong JSHS,183,82,80,85,3,2
Armstrong SD,2,0,0,0,0,0
Arts Academy at Benjamin Rush,136,81,77,83,2,4
ASPIRA Bilingual Cyber Charter School,47,26,23,27,1,3
Athens Area HS,147,70,69,70,0,1
Austin Area JSHS,11,6,6,6,0,0
Avella Area JSHS,33,22,16,25,3,6
Avon Grove CS,87,69,69,70,1,0
Avon Grove CS,2,0,0,0,0,0
Avon Grove HS,424,89,84,90,1,5
Avon Grove SD,1,0,0,0,0,0
Avonworth HS,114,104,104,104,0,0
Avonworth SD,4,0,0,0,0,0
Bald Eagle Area JSHS,127,58,58,65,7,0
Bald Eagle Area SD,1,0,0,0,0,0
Baldwin SHS,364,283,283,304,21,0
Baldwin-Whitehall SD,7,0,0,1,1,0
Bangor Area HS,215,113,113,113,0,0
Bartram John - Main,142,75,61,83,8,14
Beaver Area SD,2,0,0,0,0,0
Beaver Area SHS,145,92,84,94,2,8
Beaver Falls Area SHS,95,47,41,61,14,6
Bedford SHS,147,62,62,68,6,0
Belle Vernon Area HS,174,121,118,127,6,3
Bellefonte Area HS,190,121,119,122,1,2
Bellwood-Antis HS,100,61,61,61,0,0
Bensalem Township SD,10,0,0,0,0,0
Bensalem Twp HS,465,283,276,290,7,7
Benton Area HS,55,33,29,33,0,4
Benton Area SD,4,0,0,0,0,0
Bentworth SHS,86,56,56,60,4,0
Berlin Brothersvalley SHS,41,18,16,19,1,2
Bermudian Springs HS,139,82,81,87,5,1
Bermudian Springs SD,3,0,0,0,0,0
Berwick Area HS,173,108,106,111,3,2
Berwick Area SD,9,0,0,0,0,0
Bethel Park HS,336,292,292,292,0,0
Bethel Park SD,1,0,0,0,0,0
Bethlehem Area SD,16,2,2,2,0,0
Bethlehem-Center SD,1,1,1,1,0,0
Bethlehem-Center SHS,114,40,36,41,1,4
Big Beaver Falls Area SD,1,0,0,0,0,0
Big Spring HS,200,102,96,102,0,6
Big Spring SD,1,0,0,0,0,0
Biglerville HS,134,92,92,96,4,0
Blackhawk HS,175,137,134,145,8,3
Blackhawk SD,2,0,0,0,0,0
Blacklick Valley JSHS,41,27,23,27,0,4
Blacklick Valley SD,1,0,0,0,0,0
Blairsville SHS,60,26,25,27,1,1
Blairsville-Saltsburg SD,1,0,0,0,0,0
Bloomsburg Area HS,87,60,60,60,0,0
Blue Mountain HS,192,124,116,133,9,8
Blue Ridge HS,67,44,40,44,0,4
Bodine William W HS,139,111,110,113,2,1
Boiling Springs HS,149,92,87,93,1,5
Boyertown Area SD,12,4,4,5,1,0
Boyertown Area SHS,480,334,329,341,7,5
Boys Latin of Philadelphia CS,78,65,64,68,3,1
Bradford Area HS,171,86,79,100,14,7
Bradford Area SD,1,0,0,0,0,0
Brandywine Heights HS,112,74,74,74,0,0
Brentwood Borough SD,1,1,1,1,0,0
Brentwood SHS,90,57,56,60,3,1
Bristol Borough SD,6,0,0,0,0,0
Bristol HS,50,34,34,36,2,0
Bristol Township SD,43,0,0,0,0,0
Brockway Area JSHS,74,40,33,41,1,7
Brockway Area SD,1,0,0,0,0,0
Brookville JSHS,109,57,53,63,6,4
Brownsville Area HS,97,61,53,62,1,8
Bucks County Technical High School,341,188,186,207,19,2
Bucktail HS,27,16,14,16,0,2
Building 21,56,32,31,35,3,1
Building 21 Allentown,96,65,64,70,5,1
Burgettstown Area SD,1,0,0,0,0,0
Burgettstown MS/HS,76,49,49,49,0,0
Burrell HS,146,107,106,112,5,1
Burrell SD,2,1,1,1,0,0
Butler Area SD,15,0,0,0,0,0
Butler Area SHS,429,357,352,363,6,5
California Area SHS,74,45,38,46,1,7
Cambria Heights SHS,106,75,68,77,2,7
Cambridge Springs JSHS,66,36,36,36,0,0
Cameron County JSHS,42,16,14,17,1,2
Camp Hill SHS,99,80,80,80,0,0
Canon-McMillan SD,6,0,0,0,0,0
Canon-McMillan SHS,363,282,256,286,4,26
Canton Area SD,1,0,0,0,0,0
Canton JSHS,78,30,30,35,5,0
Capital Area School for the Arts Charter,47,40,40,40,0,0
Carbon Career & Technical Institute,106,29,28,33,4,1
Carbondale Area JSHS,100,66,57,72,6,9
Carbondale Area SD,3,0,0,0,0,0
Carlisle Area HS,367,247,242,250,3,5
Carlisle Area SD,3,0,0,0,0,0
Carlynton JSHS,98,0,0,0,0,0
Carmichaels Area HS,87,59,55,61,2,4
Carver HS,186,123,122,124,1,1
Catasauqua SHS,90,58,57,59,1,1
Cedar Cliff HS,273,195,185,198,3,10
Cedar Crest HS,387,256,238,260,4,18
Centennial SD,9,0,0,0,0,0
Center for Student Lrng CS Pennsbury,25,5,5,7,2,0
Central Bucks HS-East,490,451,451,453,2,0
Central Bucks HS-South,559,491,490,495,4,1
Central Bucks HS-West,488,420,419,422,2,1
Central Bucks SD,11,0,0,0,0,0
Central Cambria HS,132,89,88,92,3,1
Central Cambria SD,4,0,0,0,0,0
Central Columbia SD,5,0,0,0,0,0
Central Columbia SHS,127,95,94,99,4,1
Central Dauphin East SHS,373,5,5,5,0,0
Central Dauphin SD,2,0,0,0,0,0
Central Dauphin SHS,432,310,301,311,1,9
Central Greene SD,3,0,0,0,0,0
Central HS,140,73,70,79,6,3
Central HS,537,406,405,409,3,1
Central Mountain HS,232,134,120,142,8,14
Central PA Digital Lrng Foundation CS,30,15,15,16,1,0
Central Valley HS,165,119,118,121,2,1
Central Valley SD,3,0,0,0,0,0
Central York HS,472,342,330,351,9,12
Central York SD,7,0,0,0,0,0
Chambersburg Area Career Magnet Sch,175,65,62,69,4,3
Chambersburg Area SD,6,0,0,0,0,0
Chambersburg Area SHS,469,193,193,194,1,0
Charleroi Area HS,106,68,62,68,0,6
Charleroi SD,1,1,0,1,0,1
Charter High School for Architecture and,127,104,97,105,1,7
Chartiers Valley HS,255,175,173,176,1,2
Chartiers Valley SD,4,0,0,0,0,0
Chartiers-Houston JSHS,81,54,53,57,3,1
Cheltenham HS,332,213,208,213,0,5
Cheltenham SD,9,1,1,1,0,0
Chester Charter Scholars Academy CS,46,36,30,39,3,6
Chester HS,173,79,79,80,1,0
Chester-Upland SD,10,0,0,0,0,0
Chestnut Ridge SHS,110,74,63,81,7,11
Chichester SD,11,0,0,0,0,0
Chichester SHS,228,141,133,152,11,8
City CHS,118,88,88,92,4,0
Clairton City SD,3,1,1,1,0,0
Clairton MS/HS,34,16,16,16,0,0
Clarion Area JSHS,53,35,34,35,0,1
Clarion Area SD,2,0,0,0,0,0
Clarion-Limestone Area JSHS,58,37,34,41,4,3
Claysburg-Kimmel HS,61,28,20,28,0,8
Clearfield Area JSHS,145,64,60,64,0,4
Clearfield Area SD,1,0,0,0,0,0
Coatesville Area SD,28,0,0,0,0,0
Coatesville Area SD Cyber Academy,32,10,10,12,2,0
Coatesville Area SHS,412,253,243,286,33,10
Cocalico SHS,197,117,113,117,0,4
Cochranton JSHS,65,26,25,28,2,1
Collegium CS,101,83,83,88,5,0
Collegium CS,2,1,1,1,0,0
Colonial SD,5,1,1,1,0,0
Columbia Borough SD,4,0,0,0,0,0
Columbia HS,91,31,28,31,0,3
Columbia-Montour AVTS,142,55,49,57,2,6
Commodore Perry JSHS,43,26,22,29,3,4
Commodore Perry SD,1,0,0,0,0,0
Commonwealth Charter Academy CS,998,328,317,408,80,11
Community Academy of Philadelphia CS,128,77,77,92,15,0
Conemaugh Township Area SD,2,0,0,0,0,0
Conemaugh Twp Area MS/SHS,65,44,41,45,1,3
Conemaugh Valley JSHS,42,22,21,26,4,1
Conestoga SHS,554,533,533,534,1,0
Conestoga Valley SD,21,5,5,5,0,0
Conestoga Valley SHS,294,149,149,149,0,0
Conewago Valley SD,9,0,0,0,0,0
Conneaut Area Senior High,149,71,66,79,8,5
Conneaut SD,3,0,0,0,0,0
Connellsville Area Career & Technical Ce,84,16,14,17,1,2
Connellsville Area SD,9,0,0,0,0,0
Connellsville Area SHS,270,145,144,150,5,1
Conrad Weiser Area SD,7,2,2,2,0,0
Conrad Weiser HS,213,160,153,161,1,7
Constitution HS,96,77,76,78,1,1
Cornell HS,49,34,33,38,4,1
Corry Area HS,156,71,71,83,12,0
Corry Area SD,1,0,0,0,0,0
Coudersport Area JSHS,56,31,31,35,4,0
Cougar Academy,21,17,17,17,0,0
Council Rock HS North,387,347,345,352,5,2
Council Rock HS South,495,436,435,439,3,1
Council Rock SD,4,1,1,1,0,0
Cowanesque Valley JSHS,62,27,27,32,5,0
Cranberry Area JSHS,87,46,42,49,3,4
Crawford Central SD,2,0,0,1,1,0
Creative and Performing Arts,168,85,84,85,0,1
Crestwood SD,12,0,0,0,0,0
Crestwood Secondary Campus,209,114,114,115,1,0
Crispus Attucks CS,67,0,0,0,0,0
Cumberland Valley HS,647,445,444,445,0,1
Cumberland Valley SD,4,1,1,1,0,0
Curwensville Area JSHS,70,42,38,46,4,4
Dallas SHS,193,153,152,153,0,1
Dallastown Area SD,17,3,3,4,1,0
Dallastown Area SHS,437,329,321,331,2,8
Daniel Boone Area HS,257,189,189,194,5,0
Daniel Boone Area SD,3,0,0,0,0,0
Danville Area SHS,157,118,109,120,2,9
Dauphin County Technical School,239,118,110,121,3,8
Deer Lakes HS,115,72,71,72,0,1
Delaware Valley HS,371,255,255,262,7,0
Delaware Valley SD,1,0,0,0,0,0
Derry Area SD,9,0,0,0,0,0
Derry Area SHS,135,86,80,89,3,6
Derry Township SD,2,1,0,1,0,1
Dobbins AVT HS,125,43,34,48,5,9
Donegal HS,213,137,136,137,0,1
Donegal SD,8,0,0,0,0,0
Dover Area HS,228,130,129,137,7,1
Dover Area SD,5,0,0,0,0,0
Downingtown Area SD,3,0,0,0,0,0
Downingtown HS East Campus,429,309,309,312,3,0
Downingtown HS West Campus,384,283,283,289,6,0
Downingtown STEM Academy,206,205,205,205,0,0
Dr Robert Ketterer CS Inc,34,9,9,9,0,0
Dubois Area SD,3,0,0,0,0,0
Dubois Area SHS,244,139,131,141,2,8
Dunmore JSHS,116,99,99,99,0,0
Dunmore SD,2,0,0,0,0,0
East Allegheny JSHS,123,90,71,92,2,19
East Allegheny SD,4,0,0,1,1,0
East Forest JSHS,19,10,9,10,0,1
East Juniata JSHS,91,0,0,0,0,0
East Lycoming SD,1,0,0,0,0,0
East Penn SD,9,0,0,0,0,0
East Pennsboro Area SD,1,0,0,0,0,0
East Pennsboro Area SHS,181,109,109,109,0,0
East Stroudsburg Area SD,5,1,1,1,0,0
East Stroudsburg SHS North,236,149,147,160,11,2
East Stroudsburg SHS South,314,224,220,228,4,4
Eastern Lebanon Co SHS,153,99,99,100,1,0
Eastern Lebanon County SD,2,0,0,0,0,0
Eastern York HS,166,93,89,108,15,4
Eastern York SD,3,0,0,0,0,0
Easton Area HS,669,451,449,459,8,2
Edison HS/Fareira Skills,167,31,23,33,2,8
Eisenhower M/HS,69,29,27,30,1,2
Elizabeth Forward SD,1,0,0,0,0,0
Elizabeth Forward SHS,158,111,111,114,3,0
Elizabethtown Area SD,3,0,0,0,0,0
Elizabethtown Area SHS,303,184,183,194,10,1
Elk Lake JSHS,75,37,36,38,1,1
Ellwood City Area SD,1,0,0,0,0,0
Elmer L Meyers JSHS,131,100,88,100,0,12
Emmaus HS,635,494,488,498,4,6
Ephrata Area SD,5,0,0,0,0,0
Ephrata SHS,285,172,159,176,4,13
Erie City SD,2,0,0,0,0,0
Erie HS,461,161,161,161,0,0
Esperanza Academy Charter School,177,92,83,97,5,9
Esperanza Cyber CS,41,15,15,25,10,0
Everett Area HS,97,38,38,44,6,0
Evergreen Community CS,16,14,14,14,0,0
Executive Education Academy Charter Scho,79,56,52,56,0,4
Exeter Township SD,4,1,1,1,0,0
Exeter Twp SHS,323,205,201,210,5,4
Fairfield Area HS,82,27,26,27,0,1
Fairfield Area SD,2,0,0,0,0,0
Fairview HS,140,93,93,94,1,0
Fannett-Metal SHS,38,18,18,20,2,0
Farrell Area HS/UMS,44,18,18,26,8,0
Fels Samuel HS,187,107,98,114,7,9
Ferndale Area JSHS,45,6,6,6,0,0
First Philadelphia Preparatory Charter S,68,45,41,52,7,4
Fleetwood Area SD,2,1,1,1,0,0
Fleetwood SHS,206,149,149,149,0,0
Forbes Road JSHS,18,9,8,9,0,1
Forest Area SD,9,0,0,0,0,0
Forest City Regional HS,44,22,22,24,2,0
Forest City Regional SD,1,0,0,0,0,0
Forest Hills JSHS,123,76,60,78,2,16
Fort Cherry JSHS,83,47,47,47,0,0
Fort Cherry SD,3,2,2,2,0,0
Fort LeBoeuf SD,2,0,0,0,0,0
Fort LeBoeuf SHS,166,104,103,112,8,1
Fox Chapel Area HS,341,272,272,272,0,0
Frankford HS,183,48,39,52,4,9
Franklin Area JSHS,140,56,55,67,11,1
Franklin Area SD,5,0,0,0,0,0
Franklin Benjamin HS,59,22,21,24,2,1
Franklin LC,192,98,95,101,3,3
Franklin Regional SD,2,0,0,0,0,0
Franklin Regional SHS,283,226,225,227,1,1
Franklin Towne CHS,268,175,175,179,4,0
Frazier HS,85,56,56,56,0,0
Frazier SD,1,0,0,0,0,0
Freedom Area SD,1,0,0,0,0,0
Freedom Area SHS,94,32,32,32,0,0
Freedom HS,430,305,297,313,8,8
Freeport Area SHS,113,88,82,89,1,6
Freire CS,94,82,81,85,3,1
Freire CS,1,0,0,0,0,0
Furness Horace HS,144,80,78,81,1,2
G A R Memorial JSHS,115,41,40,41,0,1
Galeton Area Sch,16,9,9,11,2,0
Gamp,64,38,38,39,1,0
Garden Spot SHS,229,112,111,115,3,1
Garnet Valley HS,391,364,364,364,0,0
Garnet Valley SD,2,0,0,0,0,0
Gateway SD,5,0,0,0,0,0
Gateway SHS,231,151,148,154,3,3
General McLane HS,158,95,95,95,0,0
General McLane SD,1,0,0,0,0,0
George Jr Republic HS,26,14,14,24,10,0
Gettysburg Area HS,202,142,136,154,12,6
Gettysburg Area SD,1,0,0,0,0,0
Gillingham Charter School,11,10,7,10,0,3
Girard HS,106,44,43,45,1,1
Girard SD,1,0,0,0,0,0
Girls HS,223,78,78,78,0,0
Glendale JSHS,53,30,30,30,0,0
Governor Mifflin SHS,300,202,202,210,8,0
Great Valley HS,291,263,263,264,1,0
Great Valley SD,18,0,0,0,0,0
Greater Johnstown School District's Cybe,8,0,0,0,0,0
Greater Johnstown SD,1,0,0,0,0,0
Greater Johnstown SHS,171,87,83,88,1,4
Greater Latrobe SD,13,0,0,0,0,0
Greater Latrobe SHS,305,232,232,236,4,0
Greater Nanticoke Area SD,13,0,0,0,0,0
Greater Nanticoke Area SHS,161,103,103,104,1,0
Greencastle-Antrim SD,2,0,0,0,0,0
Greencastle-Antrim SHS,201,135,134,140,5,1
Greensburg Salem SD,9,0,0,0,0,0
Greensburg-Salem HS,156,121,120,121,0,1
Greenville JSHS,114,71,69,73,2,2
Greenwood HS,56,28,28,28,0,0
Grove City Area HS,128,83,80,83,0,3
Halifax Area HS,63,40,40,40,0,0
Hamburg Area HS,177,112,103,112,0,9
Hamburg Area SD,5,0,0,0,0,0
Hampton HS,230,214,213,214,0,1
Hanover Area JSHS,123,85,85,88,3,0
Hanover Area SD,8,2,2,2,0,0
Hanover Public SD,4,0,0,0,0,0
Hanover SHS,116,60,60,60,0,0
Harbor Creek Senior HS,180,116,112,116,0,4
Harmony Area JSHS,25,18,14,18,0,4
Harrisburg City SD,30,1,1,1,0,0
Harrisburg HS,197,114,114,114,0,0
Harrisburg HS - SciTech Cmp,67,66,66,66,0,0
Harriton SHS,293,265,265,266,1,0
Hatboro-Horsham SD,6,3,3,3,0,0
Hatboro-Horsham SHS,397,337,337,339,2,0
Haverford SHS,440,397,394,399,2,3
Haverford Township SD,4,0,0,0,0,0
Hazleton Area HS,763,404,395,407,3,9
Hazleton Area SD,3,0,0,0,0,0
Hempfield Area SD,6,0,0,0,0,0
Hempfield Area SHS,451,308,304,313,5,4
Hempfield SD,9,0,0,0,0,0
Hempfield SHS,535,384,364,388,4,20
Hershey HS,295,227,220,227,0,7
Hickory HS,153,105,101,108,3,4
Highlands SD,2,0,0,0,0,0
Highlands SHS,150,94,88,100,6,6
Hill Freedman World Academy,77,39,39,39,0,0
Hollidaysburg Area SD,4,0,0,0,0,0
Hollidaysburg Area SHS,267,166,164,172,6,2
Homer-Center JSHS,66,40,37,41,1,3
Honesdale HS,208,120,120,122,2,0
HOPE for Hyndman CS,15,4,3,4,0,1
Hopewell Area SD,1,0,0,0,0,0
Hopewell SHS,139,84,84,91,7,0
Hughesville JSHS,125,82,82,84,2,0
Huntingdon Area SD,1,0,0,0,0,0
Huntingdon Area SHS,148,92,86,93,1,6
I-LEAD Charter School,93,23,23,28,5,0
Imhotep Institute CHS,114,87,87,93,6,0
Indiana Area SD,1,0,0,0,0,0
Indiana Area SHS,208,148,142,149,1,6
Innovative Arts Academy CS,33,18,17,18,0,1
Insight PA Cyber CS,85,0,0,0,0,0
Interboro SD,4,0,0,0,0,0
Interboro SHS,232,136,133,139,3,3
Iroquois JSHS,92,47,44,47,0,3
James Buchanan HS,148,64,55,68,4,9
James M Coughlin JSHS,205,149,144,149,0,5
Jamestown Area JSHS,43,25,25,26,1,0
Jeannette City SD,2,0,0,0,0,0
Jeannette HS,67,45,43,45,0,2
Jefferson County-DuBois AVTS,79,24,15,26,2,9
Jefferson-Morgan MS/HS,46,34,34,36,2,0
Jenkintown Middle/High School,47,43,42,43,0,1
Jersey Shore Area SHS,167,65,65,67,2,0
Jim Thorpe Area HS,126,100,97,105,5,3
Jim Thorpe Area SD,3,0,0,0,0,0
Johnsonburg Area HS,47,30,30,32,2,0
Johnsonburg Area SD,1,0,0,0,0,0
Juniata County SD,1,0,0,0,0,0
Juniata SHS,145,33,28,34,1,5
Juniata Valley JSHS,62,31,31,34,3,0
Kane Area HS,76,44,44,44,0,0
Karns City Area SD,6,0,0,0,0,0
Karns City HS,82,55,51,60,5,4
Kennard-Dale HS,214,145,138,145,0,7
Kennett Consolidated SD,8,0,0,0,0,0
Kennett HS,324,239,237,244,5,2
Kensington Creative & Performing Arts HS,104,8,7,9,1,1
Kensington Health Sciences,112,8,7,8,0,1
Kensington HS,103,35,33,40,5,2
Keystone Education Center CS,31,2,2,2,0,0
Keystone JSHS,71,33,33,38,5,0
Keystone Oaks HS,140,95,89,101,6,6
Keystone Oaks SD,3,0,0,0,0,0
Keystone SD,3,0,0,0,0,0
King Martin Luther HS,95,46,40,51,5,6
KIPP DuBois Charter School,110,78,78,96,18,0
Kiski Area HS,257,176,169,179,3,7
Knoch HS,216,82,82,82,0,0
Kutztown Area SD,1,0,0,0,0,0
Kutztown Area SHS,101,66,65,69,3,1
La Academia Partnership Charter School,23,13,13,13,0,0
Lackawanna Trail JSHS,84,52,51,55,3,1
Lakeland JSHS,111,81,81,83,2,0
Lake-Lehman JSHS,150,100,100,109,9,0
Lakeview HS,86,46,46,56,10,0
Lampeter-Strasburg SD,4,0,0,0,0,0
Lampeter-Strasburg SHS,234,179,152,183,4,27
Lancaster SD,6,0,0,1,1,0
Lankenau HS,103,84,81,86,2,3
Laurel Highlands SD,8,0,0,0,0,0
Laurel Highlands SHS,196,122,117,125,3,5
Laurel HS,80,14,14,14,0,0
Lawrence County CTC,116,25,23,30,5,2
Lebanon SD,14,0,0,0,0,0
Lebanon SHS,268,111,110,116,5,1
Leechburg Area HS,69,34,30,34,0,4
Leechburg Area SD,5,2,1,2,0,1
Lehigh Valley Academy Regional CS,87,79,79,81,2,0
Lehigh Valley Academy Regional CS,1,0,0,0,0,0
Lehigh Valley Charter High School for th,146,100,100,103,3,0
Lehighton Area HS,157,100,96,100,0,4
Lehighton Area SD,4,0,0,0,0,0
Lenape Tech,159,52,51,56,4,1
Lewisburg Area SD,3,0,0,0,0,0
Lewisburg HS,125,101,100,101,0,1
Liberty HS,600,418,410,420,2,8
Ligonier Valley HS,144,104,104,112,8,0
Ligonier Valley SD,3,0,0,0,0,0
Lincoln HS,308,115,107,121,6,8
Lincoln JSHS,82,48,48,60,12,0
Lincoln Leadership Academy Charter Schoo,44,41,41,43,2,0
Lincoln Park Performing Arts CS,146,124,124,131,7,0
Line Mountain HS,106,60,60,69,9,0
Line Mountain SD,1,0,0,0,0,0
Littlestown Area SD,4,0,0,0,0,0
Littlestown SHS,145,92,83,98,6,9
Louis E Dieruff HS,436,261,257,274,13,4
Lower Dauphin HS,260,181,179,183,2,2
Lower Dauphin SD,3,0,0,0,0,0
Lower Merion HS,361,329,329,335,6,0
Lower Merion SD,1,0,0,0,0,0
Lower Moreland HS,174,161,158,161,0,3
Loyalsock Twp SHS,119,86,86,88,2,0
Mahanoy Area JSHS,65,39,38,41,2,1
Mahanoy Area SD,2,0,0,0,0,0
Manheim Central SD,2,0,0,0,0,0
Manheim Central SHS,246,146,146,152,6,0
Manheim Township SD,7,0,0,0,0,0
Manheim Twp HS,413,319,310,319,0,9
Mapletown JSHS,28,16,16,20,4,0
Maplewood JSHS,75,39,38,45,6,1
Mariana Bracetti Academy CS,138,86,86,94,8,0
Mariana Bracetti Academy CS,3,0,0,0,0,0
Marion Center Area JR/SR HS,88,52,46,54,2,6
Maritime Academy CS,56,40,39,44,4,1
Marple Newtown SD,9,0,0,0,0,0
Marple Newtown SHS,266,242,240,243,1,2
Mars Area SD,1,0,0,0,0,0
Mars Area SHS,245,218,218,219,1,0
