name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,270,125,125,144,19,0
Abington Heights HS,224,194,190,194,0,4
Abington SD,2,0,0,0,0,0
Abington SHS,629,401,396,412,11,5
Academy at Palumbo,324,251,244,258,7,7
Academy at Westinghouse,111,49,49,50,1,0
Academy Park HS,271,0,0,0,0,0
Achievement House CS,203,71,66,80,9,5
Agora Cyber CS,526,161,156,177,16,5
Agora Cyber CS,2,0,0,0,0,0
Albert Gallatin Area SHS,224,88,88,104,16,0
Aliquippa JSHS,66,0,0,0,0,0
Aliquippa SD,1,0,0,0,0,0
Allegheny Valley SD,1,0,0,0,0,0
Allegheny-Clarion Valley HS,43,21,19,22,1,2
Allentown City SD,138,1,1,2,1,0
Altoona Area HS,452,236,229,247,11,7
Ambridge Area HS,157,79,70,83,4,9
Ambridge Area SD,2,0,0,0,0,0
Annville Cleona HS,97,53,53,59,6,0
Antietam MS/HS,76,49,45,54,5,4
Antietam SD,1,0,0,0,0,0
Apollo-Ridge HS,65,40,39,44,4,1
Apollo-Ridge SD,6,0,0,0,0,0
Armstrong JSHS,190,107,107,113,6,0
Armstrong SD,6,0,0,0,0,0
Arts Academy at Benjamin Rush,141,102,98,106,4,4
ASPIRA Bilingual Cyber CS,60,24,24,39,15,0
Athens Area HS,160,81,76,81,0,5
Austin Area JSHS,12,6,6,6,0,0
Avella Area JSHS,41,27,19,27,0,8
Avella Area SD,1,0,0,0,0,0
Avon Grove CS,95,74,74,75,1,0
Avon Grove CS,3,0,0,0,0,0
Avon Grove HS,420,310,304,316,6,6
Avon Grove SD,9,0,0,0,0,0
Avonworth HS,116,91,91,92,1,0
Bald Eagle Area JSHS,127,65,62,72,7,3
Baldwin SHS,324,245,243,247,2,2
Baldwin-Whitehall SD,23,8,8,8,0,0
Bangor Area HS,217,150,150,150,0,0
Bangor Area SD,3,0,0,0,0,0
Bartram John - Main,120,43,36,46,3,7
Beaver Area SD,1,0,0,0,0,0
Beaver Area SHS,184,121,113,127,6,8
Beaver Falls Area SHS,96,38,30,42,4,8
Bedford SHS,137,55,53,58,3,2
Belle Vernon Area HS,186,132,123,136,4,9
Bellefonte Area HS,221,133,130,136,3,3
Bellwood-Antis HS,83,59,59,59,0,0
Belmont CS,65,40,40,52,12,0
Bensalem Township SD,37,1,0,2,1,1
Bensalem Twp HS,444,306,301,310,4,5
Benton Area HS,49,27,26,29,2,1
Bentworth SHS,72,48,33,48,0,15
Berlin Brothersvalley SHS,54,32,31,32,0,1
Bermudian Springs HS,167,86,85,89,3,1
Berwick Area HS,159,86,85,88,2,1
Berwick Area SD,7,0,0,0,0,0
Bethel Park HS,311,220,220,220,0,0
Bethel Park SD,4,0,0,0,0,0
Bethlehem Area SD,5,1,1,1,0,0
Bethlehem-Center SD,4,0,0,0,0,0
Bethlehem-Center SHS,92,51,41,51,0,10
Big Beaver Falls Area SD,4,0,0,0,0,0
Big Spring HS,191,100,99,102,2,1
Big Spring SD,1,0,0,0,0,0
Biglerville HS,134,61,61,66,5,0
Blackhawk HS,171,117,113,127,10,4
Blackhawk SD,2,0,0,1,1,0
Blacklick Valley JSHS,48,17,17,17,0,0
Blacklick Valley SD,4,1,1,1,0,0
Bloomsburg Area HS,98,68,68,68,0,0
Blue Mountain HS,201,114,114,123,9,0
Blue Mountain SD,1,0,0,0,0,0
Blue Ridge HS,61,26,26,30,4,0
Bodine William W HS,108,77,72,80,3,5
Boiling Springs HS,150,100,100,105,5,0
Boyertown Area SD,14,0,0,0,0,0
Boyertown Area SHS,495,335,323,340,5,12
Boys Latin of Philadelphia CS,88,56,56,57,1,0
Bradford Area HS,160,89,75,90,1,14
Brandywine Heights Area SD,2,0,0,0,0,0
Brandywine Heights HS,111,67,65,67,0,2
Brentwood Borough SD,1,0,0,0,0,0
Brentwood SHS,79,51,51,59,8,0
Bristol Borough SD,8,0,0,0,0,0
Bristol HS,69,37,37,42,5,0
Bristol Township SD,28,0,0,0,0,0
Brockway Area JSHS,82,36,32,40,4,4
Brockway Area SD,1,0,0,0,0,0
Brookville JSHS,108,61,61,62,1,0
Brownsville Area HS,106,56,46,64,8,10
Bucks County Technical High School,325,166,166,195,29,0
Bucktail HS,30,21,16,22,1,5
Building 21,71,50,48,53,3,2
Building 21 Allentown,80,43,43,48,5,0
Burgettstown Area SD,2,0,0,0,0,0
Burgettstown MS/HS,67,46,46,46,0,0
Burrell HS,130,94,86,95,1,8
Burrell SD,4,0,0,0,0,0
Butler Area SD,11,0,0,0,0,0
Butler Area SHS,443,315,312,334,19,3
California Area SHS,70,43,43,48,5,0
Cambria Heights SHS,94,63,61,68,5,2
Cambridge Springs JSHS,60,32,28,32,0,4
Cameron County JSHS,38,17,15,17,0,2
Camp Hill SHS,106,91,91,94,3,0
Canon-McMillan SD,11,0,0,0,0,0
Canon-McMillan SHS,394,282,265,285,3,17
Canton JSHS,64,33,32,33,0,1
Capital Area School for the Arts CS,43,29,29,29,0,0
Carbon Career & Technical Institute,101,33,25,38,5,8
Carbondale Area JSHS,119,56,56,58,2,0
Carlisle Area HS,331,198,198,201,3,0
Carlisle Area SD,4,0,0,0,0,0
Carlynton JSHS,87,58,58,58,0,0
Carmichaels Area HS,71,41,36,41,0,5
Carver HS,198,175,172,177,2,3
Catasauqua SHS,124,71,67,71,0,4
Cedar Cliff HS,320,188,188,189,1,0
Cedar Crest HS,372,192,172,193,1,20
Center for Student Lrng CS Pennsbury,25,8,8,11,3,0
Central Bucks HS-East,473,437,437,442,5,0
Central Bucks HS-South,551,474,474,477,3,0
Central Bucks HS-West,493,414,399,414,0,15
Central Bucks SD,15,0,0,0,0,0
Central Cambria HS,154,111,101,112,1,10
Central Columbia SD,3,0,0,0,0,0
Central Columbia SHS,144,108,103,108,0,5
Central Dauphin East SHS,353,152,152,153,1,0
Central Dauphin SD,19,0,0,0,0,0
Central Dauphin SHS,416,308,300,311,3,8
Central HS,149,71,68,79,8,3
Central HS,593,402,398,407,5,4
Central Mountain HS,248,147,147,160,13,0
Central PA Digital Lrng Foundation CS,22,6,6,10,4,0
Central Valley HS,181,115,114,115,0,1
Central York HS,466,315,308,323,8,7
Central York SD,5,0,0,0,0,0
Chambersburg Area Career Magnet Sch,172,79,77,82,3,2
Chambersburg Area SD,6,0,0,0,0,0
Chambersburg Area SHS,467,118,118,119,1,0
Charleroi Area HS,90,46,45,47,1,1
Charleroi SD,3,0,0,0,0,0
Chartiers Valley HS,232,172,171,174,2,1
Chartiers Valley SD,3,0,0,0,0,0
Chartiers-Houston JSHS,89,54,52,57,3,2
Cheltenham HS,337,251,251,274,23,0
Cheltenham SD,10,2,2,2,0,0
Chester Charter Scholars Academy CS,47,38,31,38,0,7
Chester HS,133,29,29,30,1,0
Chestnut Ridge SD,1,0,0,0,0,0
Chestnut Ridge SHS,92,41,40,49,8,1
Chichester SD,9,0,0,0,0,0
Chichester SHS,213,128,122,140,12,6
City CHS,132,78,73,86,8,5
Clairton MS/HS,48,17,17,17,0,0
Clarion Area JSHS,56,37,36,38,1,1
Clarion-Limestone Area JSHS,62,40,40,43,3,0
Claysburg-Kimmel HS,76,31,28,31,0,3
Claysburg-Kimmel SD,1,0,0,0,0,0
Clearfield Area JSHS,172,79,79,85,6,0
Coatesville Area SD,13,0,0,0,0,0
Coatesville Area SHS,463,304,258,316,12,46
Cocalico SD,11,0,0,0,0,0
Cocalico SHS,236,132,124,133,1,8
Cochranton JSHS,69,31,30,34,3,1
Collegium CS,126,94,92,99,5,2
Colonial SD,11,0,0,0,0,0
Columbia Borough SD,2,0,0,0,0,0
Columbia HS,91,38,32,38,0,6
Columbia-Montour AVTS,121,23,21,24,1,2
Commodore Perry JSHS,30,16,12,16,0,4
Commonwealth Charter Academy CS,1533,530,511,595,65,19
Commonwealth Charter Academy CS,1,0,0,0,0,0
Community Academy of Philadelphia CS,134,78,78,82,4,0
Conemaugh Township Area SD,2,0,0,0,0,0
Conemaugh Twp Area MS/SHS,85,65,64,66,1,1
Conemaugh Valley JSHS,40,21,21,21,0,0
Conemaugh Valley SD,3,0,0,0,0,0
Conestoga SHS,542,522,522,523,1,0
Conestoga Valley SD,16,5,5,5,0,0
Conestoga Valley SHS,303,185,185,185,0,0
Conewago Valley SD,1,0,0,0,0,0
Conneaut Area Senior High,142,52,51,56,4,1
Connellsville Area Career & Technical Ce,62,12,12,16,4,0
Connellsville Area SD,3,0,0,0,0,0
Connellsville Area SHS,218,97,96,97,0,1
Conrad Weiser Area SD,11,2,1,3,1,1
Conrad Weiser HS,171,109,101,112,3,8
Constitution HS,78,60,58,63,3,2
Cornell HS,43,26,26,33,7,0
Cornell SD,1,0,0,0,0,0
Corry Area HS,132,52,41,52,0,11
Coudersport Area JSHS,51,35,34,38,3,1
Cougar Academy,12,3,3,3,0,0
Council Rock HS North,391,346,346,350,4,0
Council Rock HS South,526,451,449,457,6,2
Council Rock SD,7,0,0,0,0,0
Cowanesque Valley JSHS,47,22,20,23,1,2
Cranberry Area JSHS,77,38,37,41,3,1
Creative and Performing Arts,182,46,45,47,1,1
Crestwood SD,1,0,0,0,0,0
Crestwood Secondary Campus,258,186,184,187,1,2
Crispus Attucks CS,34,0,0,0,0,0
Cumberland Valley HS,705,488,485,502,14,3
Cumberland Valley SD,2,0,0,0,0,0
Curwensville Area JSHS,83,42,40,42,0,2
Dallas SD,4,0,0,0,0,0
Dallas SHS,181,139,139,141,2,0
Dallastown Area SD,15,4,4,6,2,0
Dallastown Area SHS,471,329,306,341,12,23
Daniel Boone Area HS,259,161,161,169,8,0
Daniel Boone Area SD,2,0,0,0,0,0
Danville Area SHS,162,101,101,103,2,0
Dauphin County Technical School,215,102,102,105,3,0
Deer Lakes HS,157,97,94,99,2,3
Deer Lakes SD,2,0,0,0,0,0
Delaware Valley HS,333,173,173,186,13,0
Derry Area SD,4,0,0,0,0,0
Derry Area SHS,132,78,70,80,2,8
Derry Township SD,1,0,0,0,0,0
Dobbins AVT HS,158,89,76,94,5,13
Donegal HS,227,110,110,112,2,0
Donegal SD,6,0,0,0,0,0
Dover Area HS,233,119,119,124,5,0
Dover Area SD,8,0,0,0,0,0
Downingtown HS East Campus,404,344,342,349,5,2
Downingtown HS West Campus,428,359,346,371,12,13
Downingtown STEM Academy,192,188,188,188,0,0
Dr Robert Ketterer CS Inc,37,17,17,18,1,0
DuBois Area SD,3,0,0,0,0,0
DuBois Area SHS,252,127,113,151,24,14
Dunmore JSHS,110,87,87,91,4,0
East Allegheny JSHS,101,53,50,54,1,3
East Allegheny SD,5,0,0,0,0,0
East Forest JSHS,13,5,4,5,0,1
East Juniata JSHS,77,38,38,39,1,0
East Penn SD,14,0,0,0,0,0
East Pennsboro Area SHS,166,92,92,95,3,0
East Stroudsburg Area SD,2,0,0,0,0,0
East Stroudsburg SHS North,237,87,87,87,0,0
East Stroudsburg SHS South,346,236,233,240,4,3
Eastern Lancaster County SD,4,0,0,0,0,0
Eastern Lebanon Co SHS,168,85,85,85,0,0
Eastern Lebanon County SD,2,0,0,0,0,0
Eastern York HS,165,81,79,94,13,2
Eastern York SD,6,0,0,0,0,0
Easton Area HS,594,392,392,397,5,0
Edison HS/Fareira Skills,170,39,34,46,7,5
Eisenhower M/HS,66,37,37,37,0,0
Elizabeth Forward SD,1,0,0,0,0,0
Elizabeth Forward SHS,185,99,92,106,7,7
Elizabethtown Area SD,8,0,0,0,0,0
Elizabethtown Area SHS,301,186,186,191,5,0
Elk Lake JSHS,56,28,28,29,1,0
Ellwood City Area SD,6,1,1,1,0,0
Emmaus HS,658,511,510,521,10,1
Ephrata Area SD,1,0,0,0,0,0
Ephrata SHS,302,156,141,165,9,15
Erie City SD,6,0,0,0,0,0
Erie HS,502,93,82,93,0,11
Esperanza Academy CS,158,89,77,96,7,12
Esperanza Cyber CS,77,37,37,49,12,0
Everett Area HS,105,42,42,53,11,0
Evergreen Community CS,16,15,15,15,0,0
Executive Education Academy CS,102,66,63,69,3,3
Exeter Township SD,2,1,1,1,0,0
Exeter Twp SHS,344,226,225,229,3,1
Fairfield Area HS,89,56,54,57,1,2
Fairview HS,143,91,91,91,0,0
Fairview SD,1,0,0,0,0,0
Fannett-Metal SHS,39,14,14,17,3,0
Farrell Area HS/UMS,45,20,20,36,16,0
Fels Samuel HS,167,81,74,91,10,7
Ferndale Area JSHS,39,17,17,17,0,0
First Philadelphia Preparatory CS,90,0,0,0,0,0
Fleetwood Area SD,2,0,0,0,0,0
Fleetwood SHS,193,136,134,145,9,2
Forbes Road JSHS,19,13,13,13,0,0
Forest Area SD,6,0,0,0,0,0
Forest City Regional HS,53,21,21,21,0,0
Forest Hills JSHS,155,83,76,89,6,7
Forest Hills SD,1,0,0,0,0,0
Fort Cherry JSHS,68,39,39,44,5,0
Fort Cherry SD,1,0,0,0,0,0
Fort LeBoeuf SD,1,1,0,1,0,1
Fort LeBoeuf SHS,149,87,85,90,3,2
Fox Chapel Area HS,336,276,270,276,0,6
Frankford HS,153,45,41,50,5,4
Franklin Area JSHS,144,61,59,75,14,2
Franklin Area SD,1,0,0,0,0,0
Franklin Benjamin HS,63,19,16,24,5,3
Franklin LC,194,147,142,153,6,5
Franklin Regional SD,3,0,0,0,0,0
Franklin Regional SHS,269,224,222,224,0,2
Franklin Towne CHS,287,204,202,209,5,2
Frazier HS,84,61,61,61,0,0
Frazier SD,4,0,0,0,0,0
Freedom Area SHS,102,52,52,63,11,0
Freedom HS,459,300,288,308,8,12
Freeport Area SD,5,1,1,2,1,0
Freeport Area SHS,149,102,97,103,1,5
Freire CS,108,77,76,78,1,1
Furness Horace HS,147,8,8,8,0,0
Galeton Area Sch,15,4,4,6,2,0
Gamp,58,52,51,55,3,1
Garden Spot SHS,221,101,99,105,4,2
Garnet Valley HS,372,335,335,338,3,0
Garnet Valley SD,1,1,1,1,0,0
Gateway SD,4,0,0,0,0,0
Gateway SHS,260,114,114,124,10,0
General McLane HS,177,98,98,102,4,0
General McLane SD,4,0,0,0,0,0
Gettysburg Area HS,232,161,155,166,5,6
Gillingham Charter School,8,1,1,1,0,0
Girard HS,107,44,43,50,6,1
Girard SD,1,0,0,0,0,0
Girls HS,126,50,47,50,0,3
Glendale JSHS,51,23,22,26,3,1
Glendale SD,1,0,0,0,0,0
Governor Mifflin SD,15,0,0,1,1,0
Governor Mifflin SHS,338,199,198,209,10,1
Great Valley HS,333,303,303,303,0,0
Great Valley SD,24,0,0,0,0,0
Greater Johnstown School District's Cybe,11,0,0,0,0,0
Greater Johnstown SD,2,0,0,0,0,0
Greater Johnstown SHS,141,70,57,72,2,13
Greater Latrobe SD,9,0,0,0,0,0
Greater Latrobe SHS,286,184,183,185,1,1
Greater Nanticoke Area SD,2,0,0,0,0,0
Greater Nanticoke Area SHS,161,87,87,87,0,0
Greencastle-Antrim SHS,239,139,133,142,3,6
Greensburg Salem SD,1,0,0,0,0,0
Greensburg-Salem HS,194,131,128,134,3,3
Greenville JSHS,102,49,46,60,11,3
Greenwood HS,60,34,32,34,0,2
Greenwood SD,1,0,0,0,0,0
Grove City Area George Jr HS,6,1,1,1,0,0
Grove City Area HS,150,112,104,115,3,8
Halifax Area HS,54,34,31,34,0,3
Halifax Area SD,1,0,0,0,0,0
Hamburg Area HS,167,97,97,98,1,0
Hampton HS,243,209,209,209,0,0
Hampton Township SD,3,0,0,0,0,0
Hanover Area JSHS,151,0,0,0,0,0
Hanover Area SD,2,0,0,0,0,0
Hanover Public SD,13,1,1,1,0,0
Hanover SHS,123,50,46,50,0,4
Harbor Creek SD,4,0,0,0,0,0
Harbor Creek Senior HS,161,111,111,111,0,0
Harmony Area JSHS,19,9,9,9,0,0
Harrisburg City SD,40,0,0,0,0,0
Harrisburg HS,170,24,18,24,0,6
Harrisburg HS - SciTech Cmp,95,91,91,91,0,0
Harriton SHS,302,290,288,290,0,2
Hatboro-Horsham SD,5,0,0,0,0,0
Hatboro-Horsham SHS,350,290,289,296,6,1
Haverford SHS,448,380,377,385,5,3
Haverford Township SD,2,0,0,0,0,0
Hazleton Area HS,756,354,343,382,28,11
Hazleton Area SD,1,0,0,0,0,0
Hempfield Area SD,2,0,0,0,0,0
Hempfield Area SHS,440,263,257,277,14,6
Hempfield SD,9,0,0,0,0,0
Hempfield SHS,517,342,342,342,0,0
Hermitage SD,3,0,0,0,0,0
Hershey HS,288,226,224,226,0,2
Hickory HS,151,110,106,113,3,4
Highlands SD,1,0,0,0,0,0
Highlands SHS,143,83,82,83,0,1
Hill Freedman World Academy,93,52,50,53,1,2
Hollidaysburg Area SD,3,0,0,0,0,0
Hollidaysburg Area SHS,261,147,145,157,10,2
Homer-Center JSHS,70,48,47,48,0,1
Honesdale HS,148,89,89,99,10,0
HOPE for Hyndman CS,12,2,2,4,2,0
Hopewell SHS,142,87,86,97,10,1
Hughesville JSHS,96,48,48,52,4,0
Huntingdon Area SD,1,0,0,0,0,0
Huntingdon Area SHS,108,57,54,61,4,3
Imhotep Institute CHS,128,78,78,89,11,0
Indiana Area SD,3,0,0,0,0,0
Indiana Area SHS,226,149,130,149,0,19
Innovative Arts Academy CS,55,4,4,4,0,0
Insight PA Cyber CS,245,0,0,0,0,0
Interboro SHS,255,164,152,168,4,12
Iroquois JSHS,76,33,33,36,3,0
Iroquois SD,1,0,0,0,0,0
James Buchanan HS,147,75,67,75,0,8
Jamestown Area JSHS,40,26,25,27,1,1
Jeannette City SD,1,0,0,0,0,0
Jeannette HS,58,27,24,27,0,3
Jefferson County-DuBois AVTS,70,11,10,11,0,1
Jefferson-Morgan MS/HS,54,27,27,28,1,0
Jenkintown Middle/High School,48,42,42,43,1,0
Jenkintown SD,1,1,1,1,0,0
Jersey Shore Area SHS,149,79,79,81,2,0
Jim Thorpe Area HS,140,76,73,80,4,3
Jim Thorpe Area SD,4,0,0,0,0,0
Johnsonburg Area HS,41,24,21,24,0,3
Juniata SHS,130,43,41,52,9,2
Juniata Valley JSHS,54,27,27,30,3,0
Kane Area HS,74,39,32,43,4,7
Kane Area SD,1,1,0,1,0,1
Karns City Area SD,18,11,11,12,1,0
Karns City HS,103,50,50,54,4,0
Kennard-Dale HS,165,97,92,110,13,5
Kennett HS,330,243,242,252,9,1
Kensington Creative & Performing Arts HS,101,20,18,22,2,2
Kensington Health Sciences,107,40,34,40,0,6
Kensington HS,76,36,29,40,4,7
Keystone Central SD,1,0,0,0,0,0
Keystone Education Center CS,30,4,2,5,1,2
Keystone JSHS,65,34,33,37,3,1
Keystone Oaks HS,138,0,0,0,0,0
Keystone Oaks SD,2,0,0,0,0,0
King Martin Luther HS,66,34,26,36,2,8
KIPP DuBois CS,117,75,75,75,0,0
Kiski Area HS,276,166,157,169,3,9
Knoch HS,196,0,0,0,0,0
Knoch SD,2,0,0,0,0,0
Kutztown Area SD,1,0,0,0,0,0
Kutztown Area SHS,122,69,69,72,3,0
La Academia Partnership CS,19,9,9,9,0,0
Lackawanna Trail JSHS,78,51,49,51,0,2
Lackawanna Trail SD,1,0,0,0,0,0
Lakeland JSHS,80,53,52,54,1,1
Lake-Lehman JSHS,144,110,110,116,6,0
Lakeview Middle-HS,83,39,39,41,2,0
Lampeter-Strasburg SD,3,0,0,0,0,0
Lampeter-Strasburg SHS,217,142,126,143,1,16
Lancaster SD,6,0,0,0,0,0
Lankenau HS,86,62,55,68,6,7
Laurel Highlands SD,4,0,0,0,0,0
Laurel Highlands SHS,195,118,115,121,3,3
Laurel HS,90,1,1,1,0,0
Laurel SD,1,0,0,0,0,0
Lawrence County CTC,123,22,21,23,1,1
Lebanon SD,3,0,0,0,0,0
Lebanon SHS,290,101,99,103,2,2
Leechburg Area HS,41,26,26,28,2,0
Lehigh Valley Academy Regional CS,91,74,74,74,0,0
Lehigh Valley Academy Regional CS,3,0,0,0,0,0
Lehigh Valley Charter High School for th,152,114,114,114,0,0
Lehighton Area HS,152,65,65,77,12,0
Lenape Tech,163,46,43,51,5,3
Lewisburg Area SD,3,0,0,0,0,0
Lewisburg HS,148,118,118,118,0,0
Liberty HS,579,348,341,356,8,7
Ligonier Valley HS,110,71,71,82,11,0
Ligonier Valley SD,1,0,0,0,0,0
Lincoln HS,335,179,149,192,13,30
Lincoln JSHS,107,71,68,73,2,3
Lincoln Leadership Academy CS,52,47,47,49,2,0
Lincoln Park Performing Arts CS,153,114,113,122,8,1
Line Mountain HS,93,55,53,58,3,2
Littlestown SHS,143,71,71,77,6,0
Louis E Dieruff HS,413,184,182,205,21,2
Lower Dauphin HS,279,187,187,189,2,0
Lower Dauphin SD,3,0,0,0,0,0
Lower Merion HS,370,331,331,331,0,0
Lower Merion SD,4,0,0,0,0,0
Lower Moreland HS,177,160,160,160,0,0
Loyalsock Twp SHS,110,71,70,72,1,1
Mahanoy Area JSHS,52,24,21,27,3,3
Manheim Central SD,1,0,0,0,0,0
Manheim Central SHS,231,115,107,120,5,8
Manheim Township SD,6,2,2,2,0,0
Manheim Twp HS,438,315,299,330,15,16
Mapletown JSHS,31,17,13,17,0,4
Maplewood JSHS,97,44,44,57,13,0
Mariana Bracetti Academy CS,126,78,78,88,10,0
Mariana Bracetti Academy CS,1,0,0,0,0,0
Marion Center Area JR/SR HS,92,46,45,50,4,1
Marion Center Area SD,1,0,0,0,0,0
Maritime Academy CS,55,31,31,33,2,0
Marple Newtown SD,2,0,0,0,0,0
Marple Newtown SHS,282,254,242,257,3,12
Mars Area SD,1,0,0,0,0,0
Mars Area SHS,252,203,203,212,9,0
MAST Community CS,121,82,82,92,10,0
Mastbaum Jules E AVTS,79,30,27,37,7,3
Masterman Julia R Sec Sch,114,105,105,105,0,0
Mastery CHS-Lenfest Campus,92,64,59,69,5,5
Mastery CS - Thomas Campus,113,0,0,0,0,0
Mastery CS -Shoemaker Campus,117,94,88,99,5,6
Mastery CS-Gratz Campus,212,72,72,97,25,0
Mastery CS-Hardy Williams,72,0,0,0,0,0
Mastery CS-Pickett Campus,89,41,41,48,7,0
Math Civics and Sciences CS,88,85,85,87,2,0
McCaskey Campus,541,289,272,318,29,17
McConnellsburg HS,46,17,16,22,5,1
McDowell HS,498,290,281,301,11,9
McGuffey HS,102,50,49,64,14,1
McGuffey SD,2,0,0,0,0,0
McKeesport Area SHS,208,112,109,126,14,3
Meadville Area SHS,162,77,76,79,2,1
Mechanicsburg Area SD,5,3,2,3,0,1
